id,contentId,courseTypeId,unitId,english,french,spanish,german
,,,,,,,
1,1,1,1,Good Morning,Bonjour,Buen día,Guten Morgen
2,1,1,1,Good Afternoon,Bon après-midi,Buenas tardes,Guten Tag
3,1,1,1,Good Evening,Bonne soirée,Buenas noches,Guten Abend
4,1,1,1,Good night,Bonne nuit,Buenas noches,Gute Nacht
5,1,1,1,I am,Je suis,Soy,Ich bin
6,1,1,1,You,Toi,Tú,Du
7,1,1,1,He,Il,Él,Er
8,1,1,1,She,Elle,Ella,Sie
9,1,1,1,We,Nous,Nosotros,Wir
10,1,1,1,They,Ils,Ellos,Sie
11,1,1,1,Girl,Fille,Chica,Mädchen
12,1,1,1,Woman,Femme,Mujer,Frau
13,1,1,1,Boy,Garçon,Chico,Junge
14,1,1,1,Man,Homme,Hombre,Mann
15,1,1,1,Thank You,Merci,Gracias,Danke
16,1,1,1,Please,S'il te plaît,Por favor,Bitte
17,1,1,1,Yes,Oui,Sí,Ja
18,1,1,1,No,Non,No,NEIN
19,1,1,1,Is,Thé,Té,Tee
20,1,1,1,Are,Café,Café,Kaffee
21,1,1,1,Sorry,Boire,Beber,Trinken
22,2,1,1,Hello Paul,Salut Paul,Hola Paul,Hallo Paul
23,2,1,1,Goodyee julia,Au revoir Julia,Adiós Julia,Auf Wiedersehen Julia
24,2,1,1,You are nice,Tu es gentil,Eres amable,Du bist nett
25,2,1,1,She is very tall,Elle est tres grande,Ella es muy alta,Sie ist sehr groß
26,2,1,1,I am sorry,Café ou thé,Café o té,Kaffee oder Tee
27,2,1,1,You are very smart,Tu es très intelligent,Eres muy inteligente,Sie sind sehr intelligent
28,2,1,1,GoodMorning julia,Bonjour Julia,Buenos días Julia,Guten Morgen Julia
29,2,1,1,Water please,"De l'eau, s'il vous plaît",Puede traerme agua,"Wasser, bitte"
30,2,1,1,They are here,Ils sont de retour,Ellos están de regreso,Sie sind zurück
31,2,1,1,I am Michael,Je suis Michael,soy Michael,Ich bin Michael
32,1,1,2,beverages,breuvages,bebidas,Getränke
33,1,1,2,water,eau,agua,Wasser
