answerId,qid,a,b,c,correct answer,,
,,,,,,,
1,1,He,She,Is,He,,
2,2,He,She,Is,She,,
3,3,Boy,Woman,Girl,Girl,,
4,4,Man,Woman,Boy,Man,,
5,5,He is smart,She is very tall,She is smart,She is very tall,,
6,6,I am smart,He is smart,You are very smart,You are very smart,,
7,7,I am sorry,I am smart,I am tall,I am sorry,,
8,8,You are tall,They are smart,They are here,They are here,,
9,9,Good Night,Good Morning ,Good Evening,Good Morning ,,
10,10,water,milk,bread,water,,
11,11,water,milk,bread,bread,,
12,12,coffee,water,bread,coffee,,
13,13,please,sorry,pardon,pardon,,
14,14,"you drink, I drink , he drinks","I drink, you drink, he drinks","he drinks, I drink , you drink","I drink, you drink, he drinks",,
15,15,you're welcome!,thanks ,sorry,you're welcome!,,
16,16,you're welcome!,no problem,pardon,no problem,,
17,17,julia likes milk,julia likes bread,julia likes coffee,julia likes coffee,,
18,18,he eats vegetables,he drinks coffee,he eats bread,he eats bread,,
19,19,happy,sad,angry,happy,,
20,20,sorry,thank you,excuse me,excuse me,,
21,21,hello,goodbye,goodnight,goodbye,,
22,22,drink,eat,read,read,,
23,23,nice to meet you,"hi , nice to meet you",welcome,nice to meet you,,
24,24,"you eat, he eats , i eat","I eat ,you eat, he eats","he eats, i eat, you eat","I eat ,you eat, he eats",,
25,25,juan speaks french,juan speaks spanish,juan speaks german,juan speaks french,,
26,26,do you speak french?,do you speak german?,do you speak spanish?,do you speak spanish?,,
27,27,please. I speak french,"no, I'm sorry. I speak german","no, I'm sorry. I speak french","no, I'm sorry. I speak german",,
28,28,engineer,professor,doctor,engineer,,
29,29,engineer,doctor,professor,professor,,
30,30,no,yes,welcome,yes,,
31,31,bad,welcome,good,good,,
32,32,you're welcome,please,yes,you're welcome,,
33,33, she wants to be a pilot,she wants to be a lawyer,she wants to be thief, she wants to be a pilot,,
34,34,"yes,I'm sorry","no,I'm sorry",I'm sorry,"no,I'm sorry",,
35,35,maria is a student,maria is an engineer,maria is a doctor,maria is a doctor,,
36,36,thief's are good men,thief's are bad men,police are good men,thief's are bad men,,
